"search entire store here...","search entire store here..."
"enter your e-mail...","enter your e-mail..."
"NEWSLETTER SIGNUP","NEWSLETTER SIGNUP"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","TWITTER FEEDS"
"Featured Products","Featured Products"
"NEW PRODUCTS","NEW PRODUCTS"
"SALE PRODUCTS","SALE PRODUCTS"
"upsell products","upsell products"
"Language","Language"
"Currency","Currency"
"Login","Login"
"using","using"
"Register","Register"
"Account","Account"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Wishlist (%d)"
"My Wishlist (%d items)","Wishlist (%d)"
"My Cart","My Cart"
"My Cart (%s item)","My Cart ( %s item )"
"My Cart (%s items)","My Cart ( %s items )"
"Checkout","Checkout"
"Log In","Log In"
"Compare (0)","Compare (0)"
"Compare (%d items)","Compare (%d items)"
"Compare (%d item)","Compare (%d item)"
"Recently added item(s)","Recently added item(s)"
"Add to Wishlist","Add to Wishlist"
"Add to Compare","Add to Compare"
"Quick View","Quick View"
"was added to your cart","was added to your cart"
"Price","Price"
"search","search"
"Related Products","Related Products"
"View shopping cart","View shopping cart"
"Email to a friend","Email to a friend"
"Description","Description"
"New","New"
"Sale","Sale"



