"search entire store here...","search hele winkel hier..."
"enter your e-mail...","voert u uw e-mail..."
"NEWSLETTER SIGNUP","Aanmelden Nieuwsbrief"
"FACEBOOK","FACEBOOK"
"TWITTER FEEDS","TWITTER FEEDS"
"Featured Products","In de schijnwerpers"
"NEW PRODUCTS","NIEUWE PRODUCTEN"
"SALE PRODUCTS","VERKOOP PRODUCTEN"
"upsell products","upsell producten"
"Language","Taal"
"Currency","Valuta"
"Login","Login"
"using",""
"Register","Registreer"
"Account","Account"
"My Wishlist","Mijn verlanglijst"
"My Wishlist (%d item)","verlanglijst (%d)"
"My Wishlist (%d items)","verlanglijst (%d)"
"My Cart","Mijn winkelwagen
"My Cart (%s item)","Mijn winkelwagen ( %s item )"
"My Cart (%s items)","Mijn winkelwagen ( %s items )"
"Checkout","Kassa"
"Log In","Aanmelden"
"Compare (0)","Compare (0)"
"Compare (%d items)","vergelijken (%d items)"
"Compare (%d item)","vergelijken (%d item)"
"Recently added item(s)","Recent toegevoegde artikel (en)"
"Add to Wishlist","Zet op verlanglijst
"Add to Compare","Toon in vergelijking"
"Quick View","Quick View"
"was added to your cart","werd toegevoegd aan uw winkelwagen"
"Price","Prijs"
"search","zoeken"
"Related Products","Verwante Producten"
"View shopping cart","Bekijk winkelwagentje"
"Email to a friend","E-mail naar een vriend"
"Description","Beschrijving"



